picture,Blue,Brightness,Contrast,FM,Green,HorizContrast,HorizFM,Red,VertContrast,VertFM,X,Y,short_picture,Fixation
lockerroom4_475_325.jpg,0.265643638,234.5942784,0.761555181,3.016352996,0.346610271,25.41816699,2053.257244,0.387746092,22.34027362,734.4147922,475,325,lockerroom4,225
diningroom_475_250.jpg,0.318410303,226.8073376,52.79279037,2245.293682,0.34658081,657.2540959,1978729.148,0.335008887,2295.162097,2351918.399,475,250,diningroom,360
marsh1_475_175.jpg,0.336462773,107.8749952,12.69004289,133.737761,0.346524625,451.3892432,376789.2786,0.317012602,243.3649072,54126.11836,475,175,marsh1,234
basketballcourt5_475_125.jpg,0.308237447,108.0161824,35.31695775,16600.84999,0.346494808,723.8532506,1895983.634,0.345267744,1455.769131,5087721.498,475,125,basketballcourt5,205
video_store_475_325.jpg,0.296604571,176.863768,27.88677672,1032.555733,0.346391858,676.0395375,872615.7936,0.357003571,418.0418961,298379.9531,475,325,video,225
outdoortheme2_475_500.jpg,0.277158038,49.4971424,39.19076312,3334.953956,0.346286542,726.1611724,838514.3551,0.37655542,1432.70626,1822980.121,475,500,outdoortheme2,75
ocean2_475_200.jpg,0.381811426,212.004504,23.16345382,1772.294142,0.346244026,552.0327244,983631.2712,0.271944548,482.3667925,733574.212,475,200,ocean2,280
quarry_475_425.jpg,0.220587465,155.9489472,64.37258934,11707.76117,0.346226055,2282.771312,7274220.951,0.433186479,815.2530126,1001827.465,475,425,quarry,145
quarry_475_400.jpg,0.249266186,187.4406224,46.54786661,13824.97739,0.346200304,1273.550319,3837702.927,0.40453351,1091.155571,3270366.778,475,400,quarry,175
butchers_shop_475_475.jpg,0.388248698,66.55664,12.35962574,83.35917113,0.346191406,153.3301765,40092.19158,0.265559896,292.2761836,130209.237,475,475,butchers,138
volleyball_outdoor_475_200.jpg,0.382005956,143.000456,1.82225835,22.6796874,0.346127258,61.58042696,11010.61083,0.271866786,63.9798472,11946.23445,475,200,volleyball,280
basketballcourt5_475_100.jpg,0.315697158,129.850344,41.58663969,22939.53757,0.346118375,929.3054791,2358417.956,0.338184467,1575.016504,6242723.307,475,100,basketballcourt5,148
quarry_475_100.jpg,0.341145521,230.2939024,1.841128157,6.055210667,0.346113927,83.08205224,7445.949351,0.312740552,56.19371591,4325.511467,475,100,quarry,148
basketballcourt5_475_375.jpg,0.326273991,150.6430624,25.00754397,2631.134115,0.346106208,1417.351791,3264724.963,0.327619801,350.8194546,270025.6745,475,375,basketballcourt5,158
quarry_475_375.jpg,0.249837754,191.678376,37.03545896,14281.13969,0.346067639,880.0770043,2151490.751,0.404094607,1383.996987,7196810.12,475,375,quarry,158
warehouse1_475_575.jpg,0.298824868,112.9262816,5.243174638,14.43832718,0.346014836,125.8883141,26018.18646,0.355160295,78.46437124,11901.82484,475,575,warehouse1,10
video_store_475_475.jpg,0.287074639,137.1579104,60.32962174,3727.229009,0.345973502,2022.60621,4944915.213,0.366951859,952.7042656,1143852.809,475,475,video,138
volleyball_outdoor_475_100.jpg,0.4051972,142.2065968,1.34872334,8.491132018,0.345842731,57.33840937,8533.555787,0.248960069,56.46815081,7277.396041,475,100,volleyball,148
fountain_475_75.jpg,0.370001261,233.7583248,1.791895711,2.682624,0.345753203,38.75094136,2424.031644,0.284245536,30.51490325,859.9534222,475,75,fountain,150
quarry_475_175.jpg,0.265939363,155.363976,61.53799269,26140.83236,0.345500037,2351.51014,10871870.35,0.3885606,1368.582003,5379582.438,475,175,quarry,234
hospitalward_475_200.jpg,0.297118214,200.8450944,3.505405137,5.451715129,0.345466184,37.48369897,2599.472858,0.357415602,40.29926477,3194.14762,475,200,hospitalward,280
volleyball_outdoor_475_425.jpg,0.27621825,211.7056272,6.810632211,349.272407,0.345327241,306.6542624,228889.1346,0.378454509,189.5055037,71264.07147,475,425,volleyball,145
volleyball_outdoor_475_125.jpg,0.400580601,143.2920976,1.396562026,11.64124444,0.345220748,56.13842228,9531.932216,0.254198651,58.85076882,10527.10346,475,125,volleyball,205
ocean2_475_100.jpg,0.374893442,227.3908544,25.92935335,58.9494454,0.34521757,690.3612063,188636.0139,0.279888988,88.98892883,8053.800839,475,100,ocean2,148
quarry_475_350.jpg,0.231055537,146.4926336,51.77992289,14037.65715,0.344936132,1048.974093,3145806.862,0.424008331,1793.791411,6412291.161,475,350,quarry,174
video_store_475_400.jpg,0.320454398,180.8153936,43.1080189,4704.309073,0.344914399,1442.223141,2456201.672,0.334631203,1338.934838,2837953.863,475,400,video,175
volleyball_outdoor_475_75.jpg,0.412715206,140.5749856,1.547679301,11.55422891,0.344884539,65.89172948,10554.23218,0.242400256,56.94470068,8353.19704,475,75,volleyball,150
quarry_475_525.jpg,0.252700268,177.0033552,20.59385885,3541.14129,0.344855125,866.1957045,2197757.268,0.402444607,549.3106155,913631.2342,475,525,quarry,50
quarry_475_500.jpg,0.262709486,181.4471104,25.10041473,6754.449861,0.344788661,1074.892038,3543253.901,0.392501852,675.7130737,1750449.17,475,500,quarry,75
hospitalward_475_250.jpg,0.336314982,206.2553328,25.42504552,298.7356348,0.34478462,572.239006,255010.9588,0.318900397,76.81560646,15935.74309,475,250,hospitalward,360
hospitalward_475_400.jpg,0.294454776,181.7419808,31.69305888,786.8140413,0.344771917,983.4634466,820097.2492,0.360773307,841.7410474,663532.0377,475,400,hospitalward,175
pool_hall_475_0.jpg,0.260454829,183.826544,45.99658731,267.1519004,0.344750779,1068.755103,710150.6079,0.394794393,267.9208535,60227.89294,475,0,pool,31
volleyball_outdoor_475_375.jpg,0.282872251,216.5180016,7.17839948,448.5389352,0.344665928,250.4208789,191026.3858,0.372461821,200.8221959,127503.5524,475,375,volleyball,158
herb_garden_475_550.jpg,0.351397725,64.75528,24.9876149,387.6155375,0.344602343,654.4083237,505891.0671,0.303999932,762.1820808,684114.3778,475,550,herb,26
fountain_475_50.jpg,0.377716069,227.8244928,1.493991855,1.703053084,0.344584085,33.08879933,1315.212926,0.277699846,12.93069338,89.35174372,475,50,fountain,102
hospitalward_475_275.jpg,0.324222039,204.3360288,33.98214888,1621.594875,0.344520826,1254.783766,3436639.695,0.331257135,100.8490948,16703.91805,475,275,hospitalward,354
slum2_475_475.jpg,0.367950848,71.6147392,50.46150294,10126.36021,0.34451847,1504.035575,5372656.925,0.287530682,925.9464292,2217836.361,475,475,slum2,138
volleyball_outdoor_475_400.jpg,0.275041965,211.4964336,6.568153286,287.7647713,0.344516001,269.5179709,153277.6619,0.380442034,209.7149446,82329.09318,475,400,volleyball,175
video_store_475_575.jpg,0.282945605,116.8123936,47.23784331,1701.529212,0.344490339,1191.548669,1270263.186,0.372564057,811.6021723,859520.6511,475,575,video,10
generalstore_475_200.jpg,0.270538397,141.6948624,24.66008465,2804.214732,0.344468985,1216.009047,2942416.195,0.384992618,403.3198639,504119.2557,475,200,generalstore,280
volleyball_outdoor_475_0.jpg,0.42881386,134.7990928,1.837776434,21.42279566,0.344407914,78.07920168,20363.25693,0.226778226,63.71603334,12359.64289,475,0,volleyball,31
video_store_475_300.jpg,0.290329761,129.4659056,42.44476748,3261.666252,0.344392309,1136.484488,1477493.315,0.365277929,1045.545467,1960814.056,475,300,video,308
playroom_475_200.jpg,0.293877021,173.5647824,4.594334676,15.17364224,0.343783608,99.51185315,23454.84695,0.362339371,129.6600005,15120.93521,475,200,playroom,280
volleyball_outdoor_475_25.jpg,0.423918069,136.8464576,1.65519087,17.51510357,0.343766391,59.2064007,11608.51097,0.23231554,61.2493834,10563.23679,475,25,volleyball,58
volleyball_outdoor_475_350.jpg,0.288988115,217.0536112,9.435907211,429.7844338,0.343723395,315.3633985,193819.7171,0.367288491,175.3406873,75964.17443,475,350,volleyball,174
herb_garden_475_500.jpg,0.332688451,54.7217456,26.64684956,603.0287218,0.34371898,1027.834141,1161812.634,0.323592569,721.1081769,860010.6398,475,500,herb,75
volleyball_outdoor_475_150.jpg,0.394165912,144.001064,1.497521176,11.82963314,0.343689408,67.38849713,9521.266414,0.262144681,62.42520437,10278.7821,475,150,volleyball,217
basketballcourt5_475_25.jpg,0.321802101,195.9470272,41.87422951,21733.08065,0.343538266,1092.826085,3054124.945,0.334659633,1684.53727,5738761.403,475,25,basketballcourt5,58
volleyball_outdoor_475_175.jpg,0.389086671,143.6914144,1.870422887,25.14327723,0.343482265,77.32130132,22289.361,0.267431063,59.57176059,12056.20463,475,175,volleyball,234
video_store_475_350.jpg,0.310966049,177.006968,56.46041688,4215.437211,0.343459569,1847.66561,2855783.506,0.345574382,701.0905192,756904.2163,475,350,video,174
basketballcourt5_475_150.jpg,0.315135121,103.2200848,34.69809201,13053.55905,0.343311602,814.6812959,1490196.906,0.341553277,1365.677215,4068139.733,475,150,basketballcourt5,217
warehouse1_475_100.jpg,0.27550073,91.8122224,28.85286582,1236.613656,0.343306677,1301.92814,1609127.698,0.381192592,398.509292,481606.071,475,100,warehouse1,148
lockerroom4_475_125.jpg,0.271060917,217.1702912,13.90261408,12.01606997,0.343200866,126.5278143,19111.28126,0.385738217,41.49507657,1769.68166,475,125,lockerroom4,205
hospitalward_475_325.jpg,0.33303221,183.3383184,41.594476,2467.913419,0.343126384,2433.907736,6567153.491,0.323841406,267.6884935,81954.12648,475,325,hospitalward,225
fountain_475_25.jpg,0.383426662,222.07892,0.971629413,1.399277227,0.343056209,33.52059398,2381.889678,0.273517129,16.1633634,260.0524516,475,25,fountain,58
volleyball_outdoor_475_50.jpg,0.419096638,138.8450512,1.746612193,22.45587456,0.342981625,65.73066511,14957.1605,0.237921737,70.38247535,15082.62254,475,50,volleyball,102
warehouse1_475_525.jpg,0.29732343,116.9729744,3.409095953,10.08145067,0.342960775,101.6367617,15313.71824,0.359715795,76.49973887,10807.90015,475,525,warehouse1,50
quarry_475_125.jpg,0.328904976,193.920152,45.99323977,3456.021204,0.34295688,1005.430761,1626549.558,0.328138144,448.2384282,616474.9448,475,125,quarry,205
basketballcourt5_475_175.jpg,0.304169207,84.6516672,22.72020935,6594.119494,0.34278009,494.1809093,713996.0932,0.353050704,767.8457272,1235331.142,475,175,basketballcourt5,234
warehouse1_475_400.jpg,0.298797821,94.9307504,28.10291132,2146.056363,0.342638872,731.2203653,1005534.438,0.358563307,1380.032548,2726973.512,475,400,warehouse1,175
warehouse1_475_550.jpg,0.298928004,115.9867168,4.787871017,15.99348167,0.34252995,108.4557357,18769.10662,0.358542046,84.43341513,12471.76151,475,550,warehouse1,26
generalstore_475_225.jpg,0.275533641,143.1461152,30.36748181,1442.976277,0.342387014,1216.369181,2050292.025,0.382079345,387.0726694,456013.1864,475,225,generalstore,308
hospitalward_475_225.jpg,0.330112408,204.7663744,18.72535873,348.92999,0.342232832,883.8544528,1358162.159,0.32765476,238.0060757,88528.6456,475,225,hospitalward,308
marsh1_475_325.jpg,0.308954352,136.9062784,36.60454535,334.4116298,0.342151611,895.0629579,678641.9424,0.348894038,332.4952264,248163.3997,475,325,marsh1,225
marsh1_475_350.jpg,0.310973148,153.6779232,12.08745514,42.57656491,0.342113016,282.2451535,96612.1547,0.346913836,216.2705658,88481.45788,475,350,marsh1,174
quarry_475_475.jpg,0.2688961,161.939704,64.01568398,39707.22393,0.342058171,1854.600932,10531425.59,0.389045729,1794.219956,7927246.48,475,475,quarry,138
quarry2_475_200.jpg,0.322370122,191.3592784,30.65169988,4042.182145,0.341971983,956.0100771,1669514.372,0.335657894,1015.850296,1802440.205,475,200,quarry2,280
moun_tains_475_50.jpg,0.400611855,140.321248,12.47582551,118.6926148,0.341912046,313.6434868,152586.0107,0.257476099,324.6811953,116893.5899,475,50,moun,102
carnival_475_575.jpg,0.299427585,12.3634928,3.403970743,20.17040896,0.341858986,132.1835387,29162.55743,0.358713429,148.6927426,25505.15586,475,575,carnival,10
warehouse1_475_500.jpg,0.298527366,116.7150592,3.742546574,10.11720135,0.341825412,94.69840943,15682.1562,0.359647223,67.29831193,7890.700386,475,500,warehouse1,75
ocean2_475_175.jpg,0.341366835,256.2869552,5.561002397,2.942294471,0.341794859,96.14332819,6338.164793,0.316838306,13.96435382,164.1327548,475,175,ocean2,234
quarry2_475_175.jpg,0.320021633,181.0920128,29.51600366,4896.04993,0.341663901,1155.856351,2490869.567,0.338314466,1212.211929,2724877.685,475,175,quarry2,234
lockerroom4_475_350.jpg,0.265634677,181.2985488,77.92324218,1512.113185,0.341656947,2293.692214,3004334.628,0.392708376,201.8089349,49735.25498,475,350,lockerroom4,174
quarry_475_75.jpg,0.342632297,233.8875888,5.833143835,83.59108267,0.341412529,268.4382722,129928.8374,0.315955175,217.5044877,75078.77128,475,75,quarry,150
playroom_475_50.jpg,0.404323662,107.5194096,16.66292691,44.34350478,0.341410942,391.3038309,69388.03454,0.254265396,210.4693664,69542.49358,475,50,playroom,102
warehouse1_475_450.jpg,0.298362349,115.3177824,3.548413164,10.422177,0.341393319,95.27156419,14739.86086,0.360244333,70.18960916,9247.036089,475,450,warehouse1,175
